ID,reconciliationId,bankStatement_ID,glAccount_ID,reconciliationPeriod,bankBalance,glBalance,difference,reconcilingItemsTotal,unreconciledDifference,preparedBy,preparedDate,reviewedBy,reviewedDate,reviewDeadline,status,attachedStatementPeriod
brec01,BREC-2024-01,bs001,gl001,2024-01-31,1185000.00,1182500.00,2500.00,2500.00,0.00,Annyong Bluth,2024-02-05,Michael Bluth,2024-02-08,2024-02-15,Approved,2024-01
brec02,BREC-2024-02,bs002,gl001,2024-02-28,1025000.00,1021500.00,3500.00,3500.00,0.00,Annyong Bluth,2024-03-04,Michael Bluth,2024-03-07,2024-03-15,Approved,2024-02
brec03,BREC-2024-03,bs003,gl001,2024-03-31,875000.00,869000.00,6000.00,6000.00,0.00,Annyong Bluth,2024-04-05,Michael Bluth,2024-04-09,2024-04-15,Approved,2024-02
brec04,BREC-2024-04,bs004,gl001,2024-04-30,785000.00,783200.00,1800.00,1800.00,0.00,Annyong Bluth,2024-05-03,Michael Bluth,2024-05-07,2024-05-15,Approved,2024-04
brec05,BREC-2024-05,bs005,gl001,2024-05-31,695000.00,692100.00,2900.00,2900.00,0.00,Annyong Bluth,2024-06-04,Michael Bluth,2024-06-07,2024-06-15,Approved,2024-05
brec06,BREC-2024-06,bs006,gl001,2024-06-30,520000.00,515500.00,4500.00,4500.00,0.00,Annyong Bluth,2024-07-03,Michael Bluth,2024-07-08,2024-07-15,Approved,2024-06
brec07,BREC-2024-07,bs007,gl001,2024-07-31,895000.00,888000.00,7000.00,7000.00,0.00,Lucille Bluth,2024-08-05,Lucille Bluth,2024-08-05,2024-08-15,Approved,2024-07
brec08,BREC-2024-08,bs008,gl001,2024-08-31,1145000.00,1140000.00,5000.00,5000.00,0.00,Annyong Bluth,2024-09-04,Michael Bluth,2024-09-08,2024-09-15,Approved,2024-08
brec09,BREC-2024-09,bs009,gl001,2024-09-30,825000.00,818000.00,7000.00,7000.00,0.00,Annyong Bluth,2024-10-05,Michael Bluth,2024-10-30,2024-10-15,Approved,2024-09
brec10,BREC-2024-10,bs010,gl001,2024-10-31,545000.00,541000.00,4000.00,4000.00,0.00,Annyong Bluth,2024-11-04,Michael Bluth,2024-11-07,2024-11-15,Approved,2024-10
brec11,BREC-2024-11,bs011,gl001,2024-11-30,395000.00,380050.00,14950.00,2500.00,12450.00,Annyong Bluth,2024-12-05,Michael Bluth,2024-12-09,2024-12-15,Reviewed,2024-11
brec12,BREC-2024-12,bs012,gl001,2024-12-31,1250000.00,1245000.00,5000.00,5000.00,0.00,Annyong Bluth,2025-01-06,Michael Bluth,2025-01-09,2025-01-15,Approved,2024-12
