AssetID,Name,Type,Category,Status,Location,Owner,OwnerID,Department,IPAddress,OS,OSVersion,LastPatchDate,Criticality,DataClassification,ComplianceStatus,Notes
ASSET-001,sap-prod-01,Server,Production,Active,Data Center,IT Team,N/A,Finance,10.0.1.10,Windows Server,2019,2024-06-01,Critical,Confidential,Non-Compliant,180+ days since last patch - CRITICAL
ASSET-002,fakeblock-db-01,Server,Production,Compromised,Data Center,George Michael Bluth,E007,Technology,10.0.2.20,Linux,Ubuntu 20.04,2024-09-01,High,Internal,Non-Compliant,Ransomware infection - 90+ days unpatched
ASSET-003,vpn-gw-01,Network,Production,Active,Data Center,IT Team,N/A,Infrastructure,10.0.0.1,Cisco IOS,15.2,2024-10-25,Critical,N/A,Non-Compliant,Authentication bypass vulnerability
ASSET-004,mail-01,Server,Production,Active,Data Center,IT Team,N/A,Infrastructure,10.0.3.30,Exchange,2019,2024-11-25,High,Confidential,Compliant,Patched on schedule
ASSET-005,dc-01,Server,Production,Active,Data Center,IT Team,N/A,Infrastructure,10.0.0.5,Windows Server,2019,2024-07-01,Critical,Confidential,Non-Compliant,Privilege escalation vulnerability - 150+ days
ASSET-006,web-01,Server,Production,Active,Data Center,IT Team,N/A,Marketing,10.0.4.40,Linux,Ubuntu 22.04,2024-08-15,Medium,Public,Non-Compliant,XSS vulnerability unpatched
ASSET-007,file-01,Server,Production,Active,Data Center,IT Team,N/A,Infrastructure,10.0.5.50,Windows Server,2019,2024-10-15,High,Confidential,Non-Compliant,Local privilege escalation
ASSET-008,pos-01,Point of Sale,Production,Active,Banana Stand,GOB Bluth,E004,Sales,10.0.6.60,Windows Embedded,POSReady 7,2024-01-01,Critical,PCI,Non-Compliant,Payment card data exposure - PCI violation
ASSET-009,maps-01,Server,Production,Inactive,Data Center,Buster Bluth,E009,Research,10.0.7.70,Linux,CentOS 6,2019-03-15,Low,Internal,Non-Compliant,Server unused 5+ years - EOL OS
ASSET-010,magic-db-01,Server,Production,Active,Data Center,GOB Bluth,E004,Entertainment,10.0.8.80,MySQL,5.7,2024-11-01,Low,Internal,Non-Compliant,Authentication bypass vulnerability
ASSET-011,hr-01,Server,Production,Active,Data Center,IT Team,N/A,HR,10.0.9.90,Windows Server,2022,2024-12-10,High,Confidential,Non-Compliant,Improper access control
ASSET-012,laptop-E001,Laptop,End User,Active,Mexico (Prison),George Bluth Sr,E001,Executive,DHCP,Windows,11,2024-01-01,High,Confidential,Non-Compliant,CEO laptop in prison - should be seized
ASSET-013,laptop-E004,Laptop,End User,Active,Yacht,GOB Bluth,E004,Sales,DHCP,Windows,11,2024-10-01,Medium,Internal,Compliant,
ASSET-014,laptop-E011,Laptop,End User,Missing,Unknown,Annyong Bluth,E011,Finance,DHCP,Windows,11,2024-11-01,High,Confidential,Non-Compliant,Employee departed - laptop not returned
ASSET-015,laptop-E013,Laptop,End User,Active,Former Employee,Bob Loblaw,E013,Legal,DHCP,Windows,10,Never,High,Confidential,Non-Compliant,Terminated 2007 - laptop never recovered
ASSET-016,segway-fleet,Vehicle,End User,Active,Warehouse,GOB Bluth,E004,Sales,N/A,N/A,N/A,N/A,Low,N/A,N/A,Fleet of Segways - questionable business purpose
ASSET-017,yacht-lucille,Vehicle,Executive,Active,Newport Harbor,Lucille Bluth,E002,Executive,N/A,N/A,N/A,N/A,Low,N/A,N/A,Company yacht - personal use
ASSET-018,banana-stand,Physical,Sales,Active,Balboa Island,GOB Bluth,E004,Sales,N/A,N/A,N/A,N/A,Medium,N/A,N/A,Theres always money in the banana stand
