AlertID,Timestamp,Severity,AlertType,UserID,User,EmployeeID,Description,SourceIP,DestinationIP,BytesTransferred,Status,AssignedTo,Resolution,Notes
SEC001,2024-11-15 09:30:00,Critical,Geo_Anomaly,U001,george.sr@bluthcompany.com,E001,Login from blocked country (Mexico),187.45.23.101,,0,Open,IT Team,,CEO is INCARCERATED in Mexico - should not have access
SEC002,2024-11-20 14:45:00,Critical,Data_Exfil,U020,annyong@bluthcompany.com,E011,Large data export detected (10GB to external IP),192.168.1.100,8.8.8.8,10737418240,Investigating,Gene Parmesan,,Bulk export before resignation announcement
SEC003,2024-11-22 03:15:00,High,After_Hours,U010,gob@bluthcompany.com,E004,Admin access at 3:15 AM from unknown location,10.0.0.55,,0,Open,IT Team,,No business justification for after-hours admin work
SEC004,2024-11-25 11:00:00,Medium,Privilege_Escalation,U010,gob@bluthcompany.com,E004,User added to Domain Admins group,10.0.0.55,,0,Closed,IT Team,Change ticket CHG-003,Self-approved change ticket - control bypass
SEC005,2024-12-01 08:00:00,Critical,Malware,N/A,fakeblock-srv,N/A,Ransomware detected on Fakeblock server,,,0,Open,George Michael Bluth,,George Michaels project compromised
SEC006,2024-12-05 16:30:00,Medium,Brute_Force,U022,barry.zuckerkorn@bluthcompany.com,E012,10 failed login attempts in 2 minutes,192.168.1.50,,0,Closed,IT Team,Password reset,User forgot password
SEC007,2024-12-10 23:45:00,Medium,VPN_Anomaly,U013,tobias@bluthcompany.com,E006,VPN connection from unusual location (Reno NV),64.233.160.1,,0,Open,IT Team,,Claims he was at audition - verify
SEC008,2024-12-12 02:00:00,High,Unauthorized_Access,U023,bob.loblaw@bluthcompany.com,E013,Terminated user account login attempt,24.56.78.90,,0,Open,Barry Zuckerkorn,,Terminated 2007 - account should be disabled
SEC009,2024-12-15 01:30:00,Critical,Geo_Anomaly,U020,annyong@bluthcompany.com,E011,Login from China immediately after US login,203.0.113.45,,0,Open,Gene Parmesan,,Impossible travel - potential credential theft
SEC010,2024-12-18 14:00:00,Low,Policy_Violation,U013,tobias@bluthcompany.com,E006,Accessed blocked website category,192.168.1.88,,0,Closed,IT Team,Warning issued,Casting website - business justification accepted
SEC011,2024-12-20 09:15:00,High,Data_Access,U026,kitty@bluthcompany.com,E014,Accessed sensitive CEO files after hours,192.168.1.100,,52428800,Investigating,Michael Bluth,,50MB of CEO files accessed
SEC012,2024-12-21 11:30:00,Medium,Failed_Auth,U030,franklin@bluthcompany.com,E020,Multiple failed authentications for puppet account,192.168.1.77,,0,Open,IT Team,,PUPPET should not have system account
SEC013,2024-12-22 16:45:00,High,Lateral_Movement,U010,gob@bluthcompany.com,E004,Admin accessing multiple servers rapidly,10.0.0.55,,0,Open,IT Team,,Scanning behavior detected
SEC014,2024-12-23 08:00:00,Critical,Service_Account,SA001,svc-sap@system,N/A,Service account password unchanged 1825 days,,,0,Open,IT Team,,5 years without rotation - critical risk
SEC015,2024-12-23 08:05:00,Critical,Service_Account,SA002,svc-backup@system,N/A,Service account password unchanged 1825 days,,,0,Open,IT Team,,5 years without rotation - critical risk
