ID,employeeNumber,firstName,lastName,fullName,department,jobTitle,hireDate,terminationDate,employmentStatus,salary,salaryFrequency,bankAccount,bankRoutingNumber,email,phone,address,reportsTo_ID,isExecutive,isRelatedParty,relatedPartyType
emp001,E001,George,Bluth Sr,George Bluth Sr,Executive,Founder and CEO (Incarcerated),1973-01-15,,Active,850000.00,Annual,****4521,021000021,george.sr@bluthcompany.com,949-555-0101,Balboa Towers Penthouse Newport Beach CA,,true,true,Founder - Family
emp002,E002,Lucille,Bluth,Lucille Bluth,Executive,Executive Chairwoman,1973-01-15,,Active,650000.00,Annual,****8834,021000021,lucille@bluthcompany.com,949-555-0102,Balboa Towers Penthouse Newport Beach CA,emp001,true,true,Spouse of Founder - Family
emp003,E003,Michael,Bluth,Michael Bluth,Executive,President and COO,1992-06-01,,Active,425000.00,Annual,****2291,021000021,michael@bluthcompany.com,949-555-0103,Model Home 1 Sudden Valley CA,emp001,true,true,Son of Founder - Family
emp004,E004,George Oscar,Bluth II,GOB Bluth,Sales,VP of Sales and Magic,1995-03-15,,Active,275000.00,Annual,****7712,021000021,gob@bluthcompany.com,949-555-0104,Yacht Lucille Newport Harbor CA,emp003,true,true,Son of Founder - Family
emp005,E005,Lindsay,Bluth Funke,Lindsay Bluth Funke,Marketing,VP of Charitable Affairs,1998-09-01,,Active,195000.00,Annual,****3345,021000021,lindsay@bluthcompany.com,949-555-0105,Model Home 1 Sudden Valley CA,emp003,true,true,Daughter of Founder - Family
emp006,E006,Tobias,Funke,Tobias Funke,Marketing,Consultant - Analrapist,2002-01-10,,Active,85000.00,Annual,****9988,021000021,tobias@bluthcompany.com,949-555-0106,Model Home 1 Sudden Valley CA,emp005,false,true,Son-in-Law - Family
emp007,E007,George Michael,Bluth,George Michael Bluth,Technology,Software Developer - Fakeblock,2012-06-15,,Active,65000.00,Annual,****1122,021000021,georgemichael@bluthcompany.com,949-555-0107,Model Home 1 Sudden Valley CA,emp003,false,true,Grandson of Founder - Family
emp008,E008,Maeby,Funke,Maeby Funke,Entertainment,Studio Executive Liaison,2010-09-01,,Active,125000.00,Annual,****4456,021000021,maeby@bluthcompany.com,949-555-0108,Model Home 1 Sudden Valley CA,emp005,false,true,Granddaughter of Founder - Family
emp009,E009,Buster,Bluth,Buster Bluth,Research,VP of Cartography,1999-08-01,,Active,145000.00,Annual,****7789,021000021,buster@bluthcompany.com,949-555-0109,Balboa Towers Penthouse Newport Beach CA,emp002,true,true,Son of Founder - Family
emp010,E010,Oscar,Bluth,Oscar Bluth,Operations,Consultant - Organic Farming,2005-04-20,,Active,95000.00,Annual,****2233,021000021,oscar@bluthcompany.com,949-555-0110,Beach Shack Newport Beach CA,emp001,false,true,Brother of Founder - Family
emp011,E011,Annyong,Bluth,Annyong Bluth,Finance,Foreign Exchange Intern,2003-11-15,,Active,35000.00,Annual,****5566,021000021,annyong@bluthcompany.com,949-555-0111,Balboa Towers Penthouse Newport Beach CA,emp002,false,true,Adopted Son - Family
emp012,E012,Barry,Zuckerkorn,Barry Zuckerkorn,Legal,General Counsel,1985-02-01,,Active,450000.00,Annual,****8899,021000021,barry@zuckerkornlaw.com,949-555-0201,Orange County CA,,false,false,
emp013,E013,Bob,Loblaw,Bob Loblaw,Legal,Associate General Counsel,2006-03-01,2007-08-31,Terminated,380000.00,Annual,****1144,021000021,bob@bobloblawlawblog.com,949-555-0202,Orange County CA,emp012,false,false,
emp014,E014,Kitty,Sanchez,Kitty Sanchez,Executive,Executive Assistant to CEO,1998-05-15,,Active,75000.00,Annual,****3377,021000021,kitty@bluthcompany.com,949-555-0203,Newport Beach CA,emp001,false,false,
emp015,E015,Gene,Parmesan,Gene Parmesan,Security,Corporate Investigator,2000-07-01,,Active,95000.00,Annual,****6688,021000021,gene@parmesanpi.com,949-555-0204,Orange County CA,emp003,false,false,
