ID,transactionId,employee_ID,payPeriodStart,payPeriodEnd,paymentDate,grossPay,netPay,federalTax,stateTax,socialSecurity,medicare,otherDeductions,bonusAmount,overtimeHours,overtimePay,expenseReimbursement,costCenter_ID,glAccount_ID,approvedBy
pt001,PAY-2024-001,emp001,2024-01-01,2024-01-15,2024-01-20,35416.67,24791.67,7083.33,2833.33,0.00,0.00,708.34,0.00,0.00,0.00,0.00,cc-exec,gl034,Lucille Bluth
pt002,PAY-2024-002,emp002,2024-01-01,2024-01-15,2024-01-20,27083.33,18958.33,5416.67,2166.67,0.00,0.00,541.66,0.00,0.00,0.00,0.00,cc-exec,gl034,George Bluth Sr
pt003,PAY-2024-003,emp003,2024-01-01,2024-01-15,2024-01-20,17708.33,12395.83,3541.67,1416.67,0.00,0.00,354.16,0.00,0.00,0.00,0.00,cc-exec,gl034,George Bluth Sr
pt004,PAY-2024-004,emp004,2024-01-01,2024-01-15,2024-01-20,11458.33,8020.83,2291.67,916.67,0.00,0.00,229.16,0.00,0.00,0.00,0.00,cc-magic,gl034,Michael Bluth
pt005,PAY-2024-005,emp005,2024-01-01,2024-01-15,2024-01-20,8125.00,5687.50,1625.00,650.00,0.00,0.00,162.50,0.00,0.00,0.00,0.00,cc-mktg,gl034,Michael Bluth
pt006,PAY-2024-006,emp006,2024-01-01,2024-01-15,2024-01-20,3541.67,2479.17,708.33,283.33,0.00,0.00,70.84,0.00,0.00,0.00,0.00,cc-mktg,gl034,Lindsay Bluth Funke
pt007,PAY-2024-007,emp007,2024-01-01,2024-01-15,2024-01-20,2708.33,1895.83,541.67,216.67,0.00,0.00,54.16,0.00,0.00,0.00,0.00,cc-tech,gl034,Michael Bluth
pt008,PAY-2024-008,emp008,2024-01-01,2024-01-15,2024-01-20,5208.33,3645.83,1041.67,416.67,0.00,0.00,104.16,0.00,0.00,0.00,0.00,cc-mktg,gl034,Lindsay Bluth Funke
pt009,PAY-2024-009,emp009,2024-01-01,2024-01-15,2024-01-20,6041.67,4229.17,1208.33,483.33,0.00,0.00,120.84,0.00,0.00,0.00,0.00,cc-carto,gl034,Lucille Bluth
pt010,PAY-2024-010,emp012,2024-01-01,2024-01-15,2024-01-20,18750.00,13125.00,3750.00,1500.00,0.00,0.00,375.00,0.00,0.00,0.00,0.00,cc-legal,gl034,George Bluth Sr
pt011,PAY-2024-011,emp014,2024-01-01,2024-01-15,2024-01-20,3125.00,2187.50,625.00,250.00,0.00,0.00,62.50,0.00,0.00,0.00,0.00,cc-exec,gl034,George Bluth Sr
pt012,PAY-2024-012,emp017,2024-01-01,2024-01-15,2024-01-20,1750.00,1225.00,350.00,140.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,cc-exec,gl034,Lucille Bluth
pt013,PAY-2024-013,emp018,2024-01-01,2024-01-15,2024-01-20,2291.67,1604.17,458.33,183.33,0.00,0.00,45.84,0.00,0.00,0.00,0.00,cc-exec,gl034,Lucille Bluth
pt014,PAY-2024-014,emp020,2024-01-01,2024-01-15,2024-01-20,1875.00,1312.50,375.00,150.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,cc-magic,gl034,GOB Bluth
pt015,PAY-2024-015,emp001,2024-01-16,2024-01-31,2024-02-05,35416.67,24791.67,7083.33,2833.33,0.00,0.00,708.34,0.00,0.00,0.00,0.00,cc-exec,gl034,Lucille Bluth
pt016,PAY-2024-016,emp002,2024-01-16,2024-01-31,2024-02-05,27083.33,18958.33,5416.67,2166.67,0.00,0.00,541.66,0.00,0.00,0.00,0.00,cc-exec,gl034,George Bluth Sr
pt017,PAY-2024-017,emp001,2024-10-01,2024-10-15,2024-10-20,35416.67,24791.67,7083.33,2833.33,0.00,0.00,708.34,150000.00,0.00,0.00,0.00,cc-exec,gl036,George Bluth Sr
pt018,PAY-2024-018,emp002,2024-10-01,2024-10-15,2024-10-20,27083.33,18958.33,5416.67,2166.67,0.00,0.00,541.66,125000.00,0.00,0.00,0.00,cc-exec,gl036,George Bluth Sr
pt019,PAY-2024-019,emp018,2024-09-01,2024-09-15,2024-09-20,2291.67,1604.17,458.33,183.33,0.00,0.00,45.84,0.00,0.00,0.00,0.00,cc-exec,gl034,Lucille Bluth
pt020,PAY-2024-020,emp020,2024-09-01,2024-09-15,2024-09-20,1875.00,1312.50,375.00,150.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,cc-magic,gl034,GOB Bluth
