cr_alertid,cr_timestamp,cr_severity,cr_alerttype,cr_userid,cr_user,cr_employeeid,cr_description,cr_sourceip,cr_destinationip,cr_bytestransferred,cr_status,cr_assignedto,cr_notes
SEC001,2024-11-15T09:30:00,Critical,Geo_Anomaly,U001,george.sr@bluthcompany.com,E001,Login from blocked country (Mexico),187.45.23.101,,0,Open,IT Team,CEO is INCARCERATED in Mexico
SEC002,2024-11-20T14:45:00,Critical,Data_Exfil,U020,annyong@bluthcompany.com,E011,Large data export (10GB),192.168.1.100,8.8.8.8,10737418240,Investigating,Gene Parmesan,Bulk export before resignation
SEC003,2024-11-22T03:15:00,High,After_Hours,U010,gob@bluthcompany.com,E004,Admin access at 3:15 AM,10.0.0.55,,0,Open,IT Team,No business justification
SEC004,2024-11-25T11:00:00,Medium,Privilege_Escalation,U010,gob@bluthcompany.com,E004,Added to Domain Admins,10.0.0.55,,0,Closed,IT Team,Self-approved CHG-003
SEC005,2024-12-01T08:00:00,Critical,Malware,N/A,fakeblock-srv,N/A,Ransomware on Fakeblock,,,0,Open,George Michael,Project compromised
SEC006,2024-12-05T16:30:00,Medium,Brute_Force,U022,barry.zuckerkorn@bluthcompany.com,E012,10 failed logins in 2 min,192.168.1.50,,0,Closed,IT Team,Password forgotten
SEC007,2024-12-10T23:45:00,Medium,VPN_Anomaly,U013,tobias@bluthcompany.com,E006,VPN from Reno,64.233.160.1,,0,Open,IT Team,Claims audition
SEC008,2024-12-12T02:00:00,High,Unauthorized_Access,U023,bob.loblaw@bluthcompany.com,E013,Terminated user login,24.56.78.90,,0,Open,Barry Zuckerkorn,Terminated 2007
SEC009,2024-12-15T01:30:00,Critical,Geo_Anomaly,U020,annyong@bluthcompany.com,E011,Login from China,203.0.113.45,,0,Open,Gene Parmesan,Impossible travel
SEC010,2024-12-18T14:00:00,Low,Policy_Violation,U013,tobias@bluthcompany.com,E006,Blocked website,192.168.1.88,,0,Closed,IT Team,Casting website
SEC011,2024-12-20T09:15:00,High,Data_Access,U026,kitty@bluthcompany.com,E014,Accessed CEO files,192.168.1.100,,52428800,Investigating,Michael Bluth,50MB files accessed
SEC012,2024-12-21T11:30:00,Medium,Failed_Auth,U030,franklin@bluthcompany.com,E020,Puppet login attempts,192.168.1.77,,0,Open,IT Team,PUPPET account
SEC013,2024-12-22T16:45:00,High,Lateral_Movement,U010,gob@bluthcompany.com,E004,Server scanning,10.0.0.55,,0,Open,IT Team,Scanning behavior
SEC014,2024-12-23T08:00:00,Critical,Service_Account,SA001,svc-sap@system,N/A,Password unchanged 1825 days,,,0,Open,IT Team,5 years no rotation
SEC015,2024-12-23T08:05:00,Critical,Service_Account,SA002,svc-backup@system,N/A,Password unchanged 1825 days,,,0,Open,IT Team,5 years no rotation
