PayrollID,PayPeriod,EmployeeID,Name,GrossPay,Deductions,NetPay,BankAccount,RoutingNumber,PayDate,Status,Anomalies
PAY-2024-24-001,2024-24,E001,George Bluth Sr,35416.67,8854.17,26562.50,****4521,021000021,2024-12-15,Processed,CEO INCARCERATED - Still receiving full salary
PAY-2024-24-002,2024-24,E002,Lucille Bluth,27083.33,6770.83,20312.50,****8834,021000021,2024-12-15,Processed,
PAY-2024-24-003,2024-24,E003,Michael Bluth,17708.33,4427.08,13281.25,****2291,021000021,2024-12-15,Processed,
PAY-2024-24-004,2024-24,E004,GOB Bluth,11458.33,2864.58,8593.75,****7712,021000021,2024-12-15,Processed,
PAY-2024-24-005,2024-24,E005,Lindsay Bluth Funke,8125.00,2031.25,6093.75,****3345,021000021,2024-12-15,Processed,
PAY-2024-24-006,2024-24,E006,Tobias Funke,3541.67,885.42,2656.25,****9988,021000021,2024-12-15,Processed,
PAY-2024-24-007,2024-24,E007,George Michael Bluth,2708.33,677.08,2031.25,****1122,021000021,2024-12-15,Processed,
PAY-2024-24-008,2024-24,E008,Maeby Funke,5208.33,1302.08,3906.25,****4456,021000021,2024-12-15,Processed,
PAY-2024-24-009,2024-24,E009,Buster Bluth,6041.67,1510.42,4531.25,****7789,021000021,2024-12-15,Processed,VP of Cartography - no maps produced
PAY-2024-24-010,2024-24,E010,Oscar Bluth,3958.33,989.58,2968.75,****2233,021000021,2024-12-15,Processed,
PAY-2024-24-011,2024-24,E011,Annyong Bluth,1458.33,364.58,1093.75,****5566,021000021,2024-12-15,Processed,DEPARTED - Should not receive pay
PAY-2024-24-012,2024-24,E012,Barry Zuckerkorn,18750.00,4687.50,14062.50,****8899,021000021,2024-12-15,Processed,
PAY-2024-24-013,2024-24,E013,Bob Loblaw,0.00,0.00,0.00,****1144,021000021,2024-12-15,Terminated,Terminated 2007 - correct no pay
PAY-2024-24-014,2024-24,E014,Kitty Sanchez,3125.00,781.25,2343.75,****3377,021000021,2024-12-15,Processed,
PAY-2024-24-015,2024-24,E015,Gene Parmesan,3958.33,989.58,2968.75,****6688,021000021,2024-12-15,Processed,
PAY-2024-24-016,2024-24,E016,Carl Weathers,2708.33,677.08,2031.25,****9900,021000021,2024-12-15,Processed,
PAY-2024-24-017,2024-24,E017,Lupe Garcia,1750.00,437.50,1312.50,****2244,021000021,2024-12-15,Processed,
PAY-2024-24-018,2024-24,E018,Mrs Featherbottom,2291.67,572.92,1718.75,****9988,021000021,2024-12-15,Processed,DUPLICATE BANK - Same as Tobias E006
PAY-2024-24-019,2024-24,E019,Steve Holt,3000.00,750.00,2250.00,****5511,021000021,2024-12-15,Processed,
PAY-2024-24-020,2024-24,E020,Franklin Bluth,1875.00,468.75,1406.25,****7712,021000021,2024-12-15,Processed,GHOST EMPLOYEE - PUPPET - Same bank as GOB
PAY-2024-24-021,2024-24,E021,J Walter Weatherman,1458.33,364.58,1093.75,****8823,021000021,2024-12-15,Processed,
PAY-2024-24-022,2024-24,E022,Wayne Jarvis,22916.67,5729.17,17187.50,****6677,021000021,2024-12-15,Processed,
PAY-2024-24-023,2024-24,E023,Tony Wonder,3958.33,989.58,2968.75,****1234,021000021,2024-12-15,Processed,
PAY-2024-24-024,2024-24,E024,Ann Veal,0.00,0.00,0.00,****0000,021000021,2024-12-15,Processed,Unpaid intern - Her?
