ChangeID,Title,Description,Requestor,RequestorID,Approver,ApproverID,RequestDate,ApprovalDate,RiskLevel,Status,Category,TestEvidence,TestResults,DeploymentDate,RollbackPlan,IsSelfApproved,IsEmergency,CABReviewed,Notes
CHG-001,Update SAP vendor master security,Implement additional validation on vendor master records,Michael Bluth,E003,Barry Zuckerkorn,E012,2024-10-01,2024-10-02,Low,Closed,Security,Yes,Passed,2024-10-05,Restore from backup,FALSE,FALSE,TRUE,Standard change - proper process followed
CHG-002,Deploy Fakeblock v2.0 to production,Major release of privacy software,George Michael Bluth,E007,George Michael Bluth,E007,2024-10-15,,High,Implemented,Application,No,Not Run,2024-10-15,None documented,TRUE,FALSE,FALSE,SELF-APPROVED - No testing - Deployed anyway
CHG-003,Add GOB to Domain Admins,Require admin access for magic-related IT needs,GOB Bluth,E004,GOB Bluth,E004,2024-11-01,2024-11-01,High,Implemented,Access,No,N/A,2024-11-01,Remove from group,TRUE,FALSE,FALSE,SELF-APPROVED - No business justification - Privilege escalation
CHG-004,Emergency fix - Cornballer website,Website showing product banned in US,Tobias Funke,E006,,N/A,2024-11-10,,Critical,Implemented,Application,No,Not Run,2024-11-10,None,FALSE,TRUE,FALSE,NO APPROVAL - Emergency claimed - No ticket created until after
CHG-005,Disable audit logging on payroll system,Reduce system overhead by disabling logs,Lucille Bluth,E002,,N/A,2024-11-15,,Critical,Rejected,Security,No,N/A,,N/A,FALSE,FALSE,TRUE,REJECTED by CAB - Obvious control bypass attempt
CHG-006,Remove Bob Loblaw system access,Offboarding - terminate all access,Michael Bluth,E003,Barry Zuckerkorn,E012,2024-08-31,2024-09-01,Low,Open,Access,N/A,N/A,,N/A,FALSE,FALSE,FALSE,STILL OPEN - 90+ days - Access not removed
CHG-007,Quarterly security patches,Apply Q3 2024 security patches to all servers,IT Team,N/A,Michael Bluth,E003,2024-09-01,2024-09-05,Medium,Closed,Infrastructure,Yes,Passed,2024-09-15,Rollback scripts ready,FALSE,FALSE,TRUE,Standard patching - proper process
CHG-008,Install Annyong data export tool,Business analytics tool for financial analysis,Annyong Bluth,E011,Lucille Bluth,E002,2024-11-01,2024-11-01,High,Implemented,Application,No,N/A,2024-11-02,Uninstall,FALSE,FALSE,FALSE,Approved by related party - Tool used for data exfiltration
CHG-009,Update VPN gateway firmware,Critical security update for VPN appliance,IT Team,N/A,Michael Bluth,E003,2024-10-20,2024-10-21,Medium,Closed,Infrastructure,Yes,Passed,2024-10-25,Previous firmware,FALSE,FALSE,TRUE,
CHG-010,Add Franklin to badge system,Employee badge access for entertainment staff,GOB Bluth,E004,GOB Bluth,E004,2024-03-01,2024-03-01,Low,Implemented,Access,N/A,N/A,2024-03-01,Revoke badge,TRUE,FALSE,FALSE,PUPPET given physical access - Self-approved
CHG-011,Create service account for SAP,Batch processing service account,IT Team,N/A,Barry Zuckerkorn,E012,2020-01-01,2020-01-02,Medium,Implemented,Infrastructure,Yes,Passed,2020-01-05,Disable account,FALSE,FALSE,TRUE,Password never rotated since creation
CHG-012,Emergency database restore,Restore Fakeblock DB from backup,George Michael Bluth,E007,,N/A,2024-12-01,,Critical,Implemented,Database,No,Not Run,2024-12-01,None,FALSE,TRUE,FALSE,After ransomware - No approval
CHG-013,Remove Rita Leeds access,Offboarding - terminate MRF project access,Michael Bluth,E003,Barry Zuckerkorn,E012,2006-07-01,2006-07-02,Low,Open,Access,N/A,N/A,,N/A,FALSE,FALSE,FALSE,STILL OPEN - 18 years - Access never removed
CHG-014,Grant Kitty admin access to CEO files,EA requires access to sensitive files,George Bluth Sr,E001,George Bluth Sr,E001,2020-06-01,2020-06-01,High,Implemented,Access,N/A,N/A,2020-06-01,Revoke access,TRUE,FALSE,FALSE,Self-approved by CEO while incarcerated
CHG-015,Production deployment - no ticket,Unknown changes to production,Unknown,N/A,,N/A,2024-12-20,,Unknown,Discovered,Application,No,N/A,2024-12-20,Unknown,FALSE,FALSE,FALSE,UNAUTHORIZED - No change ticket found for deployment
