IncidentID,Title,Description,Priority,Category,ReportedBy,ReportedByID,AssignedTo,AssignedToID,OpenDate,ResolvedDate,Status,RootCause,ResolutionNotes,SLABreached,RelatedChange
INC-001,SAP login failures - CEO account,CEO unable to login to SAP from remote location,P1,Access,Kitty Sanchez,E014,IT Team,N/A,2024-12-01,2024-12-01,Resolved,Blocked IP range,User attempting login from Mexico prison,FALSE,
INC-002,Fakeblock server ransomware,Ransomware infection detected on Fakeblock database server,P1,Security,George Michael Bluth,E007,IT Team,N/A,2024-12-01,,Open,Unpatched vulnerability,Emergency restore initiated,TRUE,CHG-012
INC-003,User cannot access SAP after termination,Terminated employee Bob Loblaw requesting access restoration,P3,Access,Bob Loblaw,E013,Barry Zuckerkorn,E012,2024-12-18,,Open,Account not terminated properly,Investigating why access still exists,FALSE,CHG-006
INC-004,Duplicate paychecks issued,Two employees receiving duplicate pay to same account,P2,Payroll,Michael Bluth,E003,IT Team,N/A,2024-11-15,2024-11-20,Resolved,Ghost employee,Franklin and GOB share bank account,FALSE,
INC-005,VPN access from blocked country,Security alert for login attempt from Mexico,P2,Security,IT Team,N/A,IT Team,N/A,2024-11-15,,Open,No root cause - ongoing,CEO continues attempting access from prison,TRUE,
INC-006,Privilege escalation detected,GOB added to Domain Admins without proper approval,P1,Security,IT Team,N/A,Michael Bluth,E003,2024-11-25,2024-11-25,Resolved,Self-approved change,Change ticket found - CHG-003 - escalated to management,FALSE,CHG-003
INC-007,Cartography system unresponsive,Map system has not responded for 5 years,P4,Application,Buster Bluth,E009,IT Team,N/A,2019-03-15,,Open,Server powered off,System unused - considering decommission,FALSE,
INC-008,Large data transfer alert,10GB data transfer to external IP detected,P1,Security,IT Team,N/A,Gene Parmesan,E015,2024-11-20,,Investigating,Potential data exfiltration,Annyong exported data before departure,TRUE,CHG-008
INC-009,Failed backup - service account,SAP backup failed due to service account issue,P2,Infrastructure,IT Team,N/A,IT Team,N/A,2024-12-22,,Open,Password expired after 5 years,Service account password never rotated,FALSE,CHG-011
INC-010,Website showing banned product,Cornballer product page visible to US customers,P1,Application,Legal Team,N/A,Tobias Funke,E006,2024-11-10,2024-11-10,Resolved,Configuration error,Emergency fix deployed - no change ticket,FALSE,CHG-004
INC-011,Badge access for puppet,Security questioning badge access for Franklin,P3,Physical Security,Security Guard,N/A,GOB Bluth,E004,2024-12-22,,Open,Invalid employee,Franklin is a ventriloquist dummy,FALSE,CHG-010
INC-012,Terminated user VPN active,Bob Loblaw has active VPN tunnel,P1,Security,IT Team,N/A,Barry Zuckerkorn,E012,2024-12-23,,Open,Access not revoked,User terminated 2007 - VPN still active,TRUE,CHG-006
INC-013,SEC requesting audit logs,SEC investigation requires 2 years of audit logs,P1,Compliance,Wayne Jarvis,E022,IT Team,N/A,2024-12-20,,Open,Logs not retained,Audit log retention only 90 days,TRUE,
INC-014,Unknown production deployment,Unauthorized changes detected in production,P1,Security,IT Team,N/A,Michael Bluth,E003,2024-12-20,,Investigating,No change ticket,Unknown source of changes,TRUE,CHG-015
INC-015,Critical vulnerability unpatched,SAP CVE-2024-1234 open for 180+ days,P1,Security,IT Team,N/A,IT Team,N/A,2024-12-01,,Open,Resource constraints,No patching window available,TRUE,
