AnomalyID,Timestamp,UserID,User,EmployeeID,AnomalyType,RiskScore,SourceIP,Location,Country,System,Description,PreviousLocation,TimeSinceLastLogin,Status,Investigation
ANO-001,2024-11-15 09:30:00,U001,george.sr@bluthcompany.com,E001,Impossible_Travel,95,187.45.23.101,Cabo San Lucas,Mexico,VPN,Login from Mexico - user is incarcerated,Newport Beach,0,Open,CEO is in prison - should not be logging in at all
ANO-002,2024-11-20 14:45:00,U020,annyong@bluthcompany.com,E011,Unusual_Data_Volume,90,192.168.1.100,Office,US,SAP_PROD,10GB data export - 100x normal volume,Office,0,Investigating,Pre-departure data exfiltration suspected
ANO-003,2024-11-22 03:15:00,U010,gob@bluthcompany.com,E004,After_Hours_Admin,75,10.0.0.55,Unknown,US,Domain_Controller,Domain admin activity at 3:15 AM,Office,8,Open,No change ticket for after-hours work
ANO-004,2024-12-01 03:45:00,U001,george.sr@bluthcompany.com,E001,Blocked_Country,100,187.45.23.101,Mexico,Mexico,VPN,Multiple attempts from blocked country,Mexico,16,Open,4 attempts from Mexican IP range
ANO-005,2024-12-05 16:30:00,U022,barry.zuckerkorn@bluthcompany.com,E012,Brute_Force,60,192.168.1.50,Office,US,SAP_PROD,10 failed attempts in 2 minutes,Office,0,Closed,Password forgotten - reset completed
ANO-006,2024-12-10 23:45:00,U013,tobias@bluthcompany.com,E006,Unusual_Location,50,64.233.160.1,Reno,US,VPN,VPN from Reno - user usually in Newport Beach,Newport Beach,72,Open,Claims audition in Reno - verify
ANO-007,2024-12-12 02:00:00,U023,bob.loblaw@bluthcompany.com,E013,Terminated_User,100,24.56.78.90,Home,US,SAP_PROD,Terminated user login attempt,N/A,2557,Open,Account terminated 2007 - still active
ANO-008,2024-12-15 01:30:00,U020,annyong@bluthcompany.com,E011,Impossible_Travel,98,203.0.113.45,Beijing,China,SAP_PROD,Login from China 2 hours after US login,Los Angeles,2,Open,Impossible travel - 6000+ miles in 2 hours
ANO-009,2024-12-18 14:00:00,U031,franklin@bluthcompany.com,E020,Invalid_User_Type,85,192.168.1.77,GOB Office,US,SAP_PROD,Puppet employee attempting system access,N/A,0,Open,Franklin is a ventriloquist dummy
ANO-010,2024-12-20 09:15:00,U026,kitty@bluthcompany.com,E014,Sensitive_Data_Access,70,192.168.1.100,Office,US,FileShare,EA accessing CEO personal files,Office,0,Investigating,50MB of sensitive files downloaded
ANO-011,2024-12-21 11:30:00,U029,featherbottom@bluthcompany.com,E018,Duplicate_Identity,65,192.168.1.88,Model Home,US,Badge_System,Same bank account as another employee,Model Home,0,Open,Mrs Featherbottom = Tobias Funke?
ANO-012,2024-12-22 08:00:00,U010,gob@bluthcompany.com,E004,Lateral_Movement,80,10.0.0.55,Office,US,Multiple,Accessed 15 servers in 30 minutes,Office,0,Open,Scanning behavior - potential compromise
ANO-013,2024-12-22 16:00:00,U034,rita.leeds@bluthcompany.com,E025,Terminated_User,100,45.67.89.10,Unknown,UK,Email,Email access from terminated user,N/A,6749,Open,Terminated 2006 - account still active
ANO-014,2024-12-23 09:00:00,SA001,svc-sap@system,N/A,Service_Account_Interactive,90,192.168.1.200,Server Room,US,SAP_PROD,Interactive login to service account,N/A,0,Open,Service accounts should not have interactive logins
ANO-015,2024-12-23 10:30:00,U025,bob.loblaw@bluthcompany.com,E013,VPN_From_Terminated,100,73.14.25.36,Home,US,VPN,VPN tunnel established by terminated user,N/A,2558,Critical,Active VPN session for 2007 termination
